ID,TEXT,Symptom CUIs,Negation Flag
hhpiv1,"hi friends, i am on day 12 or so and still having low-grade fever's. i usually wake up at a normal temperature but by the afternoon i can get up to 99.9. it fluctuates between 99.5 and 99.9 for a few hours and then usually goes back to normal overnight. this is how my symptoms started and it continues to be the only one i've had consistently. the sore throat is gone, the headaches are here and there, the chest pain is just starting. i have not been sleeping well but i am resting and have been quarantined since june 19th. incidentally on june 19 i tested negative, but spoke to two doctors since via telemedicine and they have both sais to treat it as a false negative due to my symptoms. does anyone have any advice on how much longer the fevers will continue? do you think i am out of the woods yet? my pulse ox continues to be about 98%. thank you and good luck everyone!",$$$C0917801$$$C0015967$$$C0030252$$$C0015967$$$C0000000$$$C0018681$$$C0917801$$$C0015967$$$C0015967$$$C0015967$$$C0015967$$$C0015967$$$C2363731$$$C0015967$$$,$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$
hqjfs8,"i'm a male, 28 years old, and overweight. 

i was exposed on tuesday july 7th. i started feeling a itchy throat the next day. didn't think anything of it. 

july 9, i got a headache that wouldn't go away. 

july 10, headache persisted, friend told me she was tested positive for covid. i immediately schedule appointment for same day. 

july 11-12 no cough or sore throat. still getting headaches occasionally. now starting to get dizzy. fatigue is the word. almost sure i got it at the point. 

july 13, results came in positive. 

i work at home so i'm not sure if it's mandatory to tell my employer. 

i feel like trash but i can still work.",$$$C0018681$$$C0010200$$$C2363731$$$C2363731$$$C0018681$$$C0010200$$$C0015672$$$C0018681$$$C0012833$$$C0015967$$$C0015672$$$,$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$
fonbib,"phase 1: fever 39/105. heartbeat 130. exhaustion. 4 days. low consistent fever. ends with horrible muscle pain. muscle pain only half a day.

phase 2: get better. no fever. lose thread of conversation. talk to self.
2 days.

phase 3: cough comes in fast. no fever. exhaustion. horrible cough. shortness of breath. okay in morning, bad at night, really bad feeling of impending doom. duration 4-5 days. pneumonia lottery phase.

phase 4: feeling better. residual cough. don't really wanna do anything. exhausted. many days.

demographic: 
40, male, o positive, cross between office and gym type, not as gym as i'd like but don't judge me. no major risk factors. 

timelime:

5 2 7 6 days

sick well sicker recovery",$$$C0015967$$$C0012833$$$C0015967$$$C0000000$$$C0015672$$$C0231528$$$C0010200$$$C0010200$$$C0015967$$$C0231528$$$C0030252$$$C0010200$$$C0015967$$$C1832070$$$C0013404$$$C0015967$$$C0015672$$$C0015967$$$C0015967$$$,$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$
gottgb,"colleague and i both got corona, tested positive, both recovered, both now suffering gastro problems. hurts to touch different areas of belly, few days now. 1.5 months post sickness.",$$$C0011991$$$,$$$0$$$
g3v1pu,"so, i'm on week seven. was sick two weeks, now i'm just recovering and enjoying the after effects - shitty breathing, waking up like i'm at the bottom of a pool being pulled up by a rope around my neck, hypertension (high blood pressure) and fast heart rate; can't handle stress - reminds me of being young again.

anyway, i ate a steak. yeah, it was a bit ripe. yeah, i usually eat it that way - i feel emasculated working in a fancy suit in an office an it's my private rebellion.

cue 5 hours of my body cleaning everything ingested. it was 8 hours later so it was a deep dive for a 1.2 inch tbone. first time in my life shitting and puking in the bath simultaneously.

it was violent, completist, and theatrical. i shat my pyjamas, for fuck sake. i lay on a pile of laundry on the bathroom floor between expletions. 

tl;dr: your immune system might overreact to bad food so be unusually careful.",$$$C0030252$$$C0011991$$$C0232462$$$C0232462$$$C1832070$$$C0020538$$$C0013404$$$C0030252$$$C0741585$$$C1832070$$$C0013404$$$C0042963$$$,$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$
hohsfc,"24m here, so it's been about 5 days since i've had symptoms and 10 since i had a fever, i've felt pretty great but earlier tonight i walked around outside in the 80 degree weather for about two hours and my heart rate will not drop under 90bpm now even hours later. my normal testing heart rate is 55-62bpm, although this is the first time i've been up and out in about two weeks, is this abnormal?",$$$C0030252$$$C0030252$$$C0015967$$$C0015967$$$,$$$0$$$0$$$0$$$0$$$
hw5zpc,"for everyone thats tested positive and their two weeks have ended: have you been experiencing head pain or a chronic headache? im three weeks out from when i tested positive but for the last week and a half i have had the worst headache ive ever experienced and its almost difficult to describe. to call it a headache is an understatement. it feels almost similar to when you are upside down and the blood rushes to your head and you feel as though your head is going to burst from it. i wake up with it, i go to sleep with it, its all throughout the day. it has affected my schoolwork by making me unable to focus on anything or sometimes even get my thoughts together. i was just wondering if anyone else has experienced this and if theyve found anything to be helpful for them because tylenol and ibuprofen does not do much help.",$$$C0018681$$$C0012833$$$C0015967$$$C0018681$$$C0018681$$$C0018681$$$C0917801$$$C0008031$$$C0018681$$$C0018681$$$C0018681$$$,$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$
hrhvdx,"hello all, 

starting nearly two weeks ago i began to develop a very mild sore throat. ignored it thinking it was just my allergies, i often have sore throats due to my allergies so it was not a point of concern for me, but as the sore throat persisted i began to worry and eventually went to get tested for covid on thursday of last week.  the test was a rapid test and my results came back negative in less than an hour. i figured it was still just allergies at that point. come sunday morning, my sore throat is worse and not only that but i developed a fever and body chills and aches overnight. because i already tested negative before i figured i might have had strep and took myself to my doctors, there they offer to test me for covid again and the next day, on monday,  i received my results which were positive. since receiving my results, i have not had a fever or body aches, i've only popped a few painkillers on monday and none on tuesday.  i am still a little fatigued but i believe it is mainly due to my lack of sleep from worrying so much. 

&#x200b;

tonight (tuesday night) i lost my ability to smell and taste. this just threw me into an anxiety attack as i contemplated the possibility of this being permanent or me never getting my full sense of smell and taste back. right now i am very anxious and worried, i am not sure where this illness is going or if i am near the end at all. the anxiety sucks because it causes me to have shortness of breath which is a symptom, thus causing me to get more anxiety. honestly,  than the loss of smell and taste, i have no  symptoms right now, but the anxiety is making my experience a living hell. 

has anyone else dealt with extreme anxiety while dealing with covid? any advice?

also, is it safe to assume i am out of the worst of it? i started showing symptoms nearly two weeks ago and then a few days ago was when suddenly i woke up with the fever and aches which are gone now. should i be worried about more to come?

any advice or comments are appreciated. 

&#x200b;

thank you for reading.",$$$C0015967$$$C1832070$$$C1832070$$$C2364111$$$C1832070$$$C2363731$$$C0003126$$$C1832070$$$C0003126$$$C1832070$$$C0015967$$$C1832070$$$C0085593$$$C2364111$$$C1832070$$$C0015672$$$C2363731$$$C2364111$$$C0013456$$$C0003126$$$C0917801$$$C0013404$$$C0015967$$$C2363731$$$C1832070$$$C0015967$$$C1832070$$$C0003126$$$C2363731$$$C0015967$$$C1832070$$$C0010200$$$C1832070$$$C1832070$$$C0015967$$$C0015672$$$C0015967$$$C0013404$$$,$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$
i0a3fm,"so i tested positive today. i work in a hospital and had been told the usual doctrine for months of isolate + get tested if you have fever / persistant new cough / loss of smell or taste. 

i started feeling ill on saturday. sore throat, congestion, muscle aches, feeling hot / cold (no definite fever), headache type stuff.  none of the 3 symptoms above. just standard cold symptoms. i'd also just started fasting and was mid 70hr fast when symptoms appeared. thought it may be related and didn't think too much of it. 

a few months ago i isolated briefly and got tested for what turned out to be a cold so i didn't want to risk pissing off my bosses by calling in again, this time for ""non-covid symptoms"". it just isn't done, and we are so short staffed i thought i might get laughed at. 

i also have anxiety (don't we all) and often confuse my hypochondria with actual real symptoms. if i called in to work every time i felt ""off"" then i would never be in work at all. i tend to power through regardless. 

we get tested weekly at work and i arranged that test asap knowing that on the off chance it was covid it would be picked up.

so now my symptoms are worse (and more covid specific), but harder to deal with is the fact i may have passed it on at work. to vulnerable patients. 

how do i move past this crippling guilt that someone may get really sick because of me. 

tl;dr tested positive after routine test after going into work (in a hospital) with what i thought was a cold. feeling horrendous guilt.",$$$C0015967$$$C0003126$$$C0015967$$$C0015967$$$C1832070$$$C2363731$$$C0018681$$$C0015967$$$C0018681$$$C0741585$$$C0231528$$$C0015967$$$C0010200$$$C0015967$$$C2364111$$$C0018681$$$,$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$
hxf6ko,"i had the worst of the symptoms for 5 days hot and cold spells dizziness, extreme exhaustion, bad headache/ eye pain and sore throat and body ache random cough that i still have and something it feels like something is stuck in my throat. i'm still dealing with heart palpitations, shortness or breath and weakness if i move around too much get too hot or leave the air conditioning on cold too long. does anyone else have issues like that as well.",$$$C0600142$$$C2363731$$$C2363731$$$C0235710$$$C0010200$$$C0015672$$$C0151827$$$C0030252$$$C0015672$$$C0235710$$$C0012833$$$C0012833$$$C0030252$$$C0018681$$$C0013404$$$,$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$
